,R2 train,R2 cv,R2 test,Training period start,Training period end,Testing period,N° training samples,N° testing samples
19,0.6581066596675906,0.08690252987516622,0.7839369582154363,2004Q4,2006Q3,2006Q4,1450,110
20,0.9932999450917476,0.08161007189707092,0.17717547886559948,2005Q1,2006Q4,2007Q1,1555,121
21,0.9818564818479171,0.5989044115407791,-4.791261430541536,2005Q2,2007Q1,2007Q2,1642,123
22,0.9308665875140643,0.09742692991454682,-11.687214514930595,2005Q3,2007Q2,2007Q3,1720,124
23,0.6241458731716202,0.3174837971270549,0.8090026052377606,2005Q4,2007Q3,2007Q4,1798,106
24,0.9997686444412802,0.753198791972505,-2.278554618659695,2006Q1,2007Q4,2008Q1,1844,119
25,0.8562710459993965,0.39899791822254616,0.6008020042487527,2006Q2,2008Q1,2008Q2,1862,129
26,0.999762510884895,0.8010974102838823,0.5911957912869907,2006Q3,2008Q2,2008Q3,1891,132
27,0.9998735382206978,0.8801361609595542,0.5889074893583215,2006Q4,2008Q3,2008Q4,1923,131
28,0.9997618876875681,0.7734414242059673,0.7578947845160064,2007Q1,2008Q4,2009Q1,1965,146
29,0.7102273223105222,0.7436291295039231,0.38960186270327546,2007Q2,2009Q1,2009Q2,2015,148
30,0.9962814472907094,0.9618513270069631,0.7982673234711634,2007Q3,2009Q2,2009Q3,2066,149
31,0.9970580503758916,0.21599872730981384,-0.10193435237882031,2007Q4,2009Q3,2009Q4,2116,150
32,0.9551928927590702,0.15232747883682418,-0.07417664064343454,2008Q1,2009Q4,2010Q1,2205,162
33,0.9988779508009673,0.053971206093435975,0.5870919142292312,2008Q2,2010Q1,2010Q2,2291,161
34,0.14453367136586415,0.5184691430935813,0.2898289204932818,2008Q3,2010Q2,2010Q3,2355,164
35,0.17742802265937718,0.902687661865274,0.3095815035806606,2008Q4,2010Q3,2010Q4,2419,164
36,0.8751482207399959,0.7457250331218706,0.6158172324999174,2009Q1,2010Q4,2011Q1,2484,172
37,0.9994712901142001,0.879021421515193,-0.801664967969385,2009Q2,2011Q1,2011Q2,2536,179
38,0.9998010348314388,0.6003375540414734,-0.0006523145754133708,2009Q3,2011Q2,2011Q3,2598,180
39,0.9999022343489542,0.6562607918776724,-0.43969615459278644,2009Q4,2011Q3,2011Q4,2661,177
40,0.9999999796097873,0.8041068483302871,0.6875261446019891,2010Q1,2011Q4,2012Q1,2715,202
41,0.9999968603578222,0.9589614504994194,-163.9327488609267,2010Q2,2012Q1,2012Q2,2795,206
42,0.9117731416212974,0.6613630694897288,-625.0796249704957,2010Q3,2012Q2,2012Q3,2886,208
43,0.9999999863006503,0.4585516885417499,0.06740992905201437,2010Q4,2012Q3,2012Q4,2974,205
44,0.940497827598525,0.7994881604747104,-0.002508459041532518,2011Q1,2012Q4,2013Q1,3056,213
45,0.9988549411838666,0.8169197321180733,0.20537754011442966,2011Q2,2013Q1,2013Q2,3138,218
46,0.11500022512599328,0.28197885677232504,-565.452258711303,2011Q3,2013Q2,2013Q3,3215,219
47,0.15660706061418928,0.05032571841832045,0.16622170561613625,2011Q4,2013Q3,2013Q4,3293,216
48,0.9997506877455129,0.26412042254986046,-0.06618593366015402,2012Q1,2013Q4,2014Q1,3370,217
49,0.3107740832999999,0.6625959051549626,0.4838388389275573,2012Q2,2014Q1,2014Q2,3400,223
50,0.19360892527092088,0.2807776983175536,0.1976568140779379,2012Q3,2014Q2,2014Q3,3433,221
51,0.86308444812044,0.9011985454327658,-0.8994013982210902,2012Q4,2014Q3,2014Q4,3460,219
52,0.6591619069301786,0.47385538676785177,-0.10187504377371193,2013Q1,2014Q4,2015Q1,3488,220
53,0.45756808396871795,0.34148481663806174,-1.3296412085881313,2013Q2,2015Q1,2015Q2,3502,220
54,0.620137780593818,0.4547428838537161,0.04658159488483371,2013Q3,2015Q2,2015Q3,3507,219
55,0.9883748411827118,0.6210460490648736,0.2989011728568508,2013Q4,2015Q3,2015Q4,3506,217
56,0.5748980150383896,0.8888573106867808,0.4443645167748568,2014Q1,2015Q4,2016Q1,3509,220
57,0.943190629057653,0.7915483570024824,0.15732963892081453,2014Q2,2016Q1,2016Q2,3515,221
58,0.4026080171643517,0.02642408518117223,0.570748828268813,2014Q3,2016Q2,2016Q3,3511,217
59,0.9917682788473525,0.8080213782292905,-79.92353899910496,2014Q4,2016Q3,2016Q4,3503,214
