,R2 train,R2 cv,R2 test,Training period start,Training period end,Testing period,N° training samples,N° testing samples
36,0.9668924716515673,0.9302180734783211,0.9569455540687799,2009Q1,2010Q4,2011Q1,2484,172
37,0.9657687038412164,0.9224579204531642,0.8416683110172731,2009Q2,2011Q1,2011Q2,2536,179
38,0.9691862206065893,0.9672662400409167,0.9517520701850808,2009Q3,2011Q2,2011Q3,2598,180
39,0.9617588469624353,0.8218257592527098,0.9288246102120897,2009Q4,2011Q3,2011Q4,2661,177
40,0.9655657751193284,0.9339432005627245,0.9059322349818113,2010Q1,2011Q4,2012Q1,2715,202
41,0.9665808468237841,0.9586239065730088,0.9176522776746705,2010Q2,2012Q1,2012Q2,2795,206
42,0.9597556718091482,0.9502099250487687,0.9449596268901086,2010Q3,2012Q2,2012Q3,2886,208
43,0.9604761744268068,0.944617866913558,0.8683380225826421,2010Q4,2012Q3,2012Q4,2974,205
44,0.9589075877964456,0.9391621035871668,0.9445175126221201,2011Q1,2012Q4,2013Q1,3056,213
45,0.9774047881520046,0.940811594315847,0.959368746226845,2011Q2,2013Q1,2013Q2,3138,218
46,0.9715389590107294,0.9734347749002549,0.9662861541614729,2011Q3,2013Q2,2013Q3,3215,219
47,0.9837018117018989,0.9254418217445493,0.8933496514612369,2011Q4,2013Q3,2013Q4,3293,216
48,0.9895300930848052,0.9764294057089521,0.962871446558949,2012Q1,2013Q4,2014Q1,3370,217
49,0.972733686828206,0.9618233660402078,0.97934605190606,2012Q2,2014Q1,2014Q2,3400,223
50,0.9962146170796178,0.9503102889190472,0.9653580786802864,2012Q3,2014Q2,2014Q3,3433,221
51,0.9905802051182302,0.9302115831012249,0.9193813852535528,2012Q4,2014Q3,2014Q4,3460,219
52,0.999154930940761,0.9198810360295012,0.9287619234313647,2013Q1,2014Q4,2015Q1,3488,220
53,0.9772771217655115,0.9257718672951913,0.9648669749778006,2013Q2,2015Q1,2015Q2,3502,220
54,0.9840405366044735,0.9431652176013301,0.9646015085406561,2013Q3,2015Q2,2015Q3,3507,219
55,0.9720283449905363,0.9541245018484477,0.9522983207288239,2013Q4,2015Q3,2015Q4,3506,217
56,0.9734181207865292,0.9745716002553447,0.969508049520005,2014Q1,2015Q4,2016Q1,3509,220
57,0.9764749031569324,0.937491974625027,0.9682083305520829,2014Q2,2016Q1,2016Q2,3515,221
58,0.9869115554230767,0.9742893646289444,0.9790072778596236,2014Q3,2016Q2,2016Q3,3511,217
59,0.9918209513014886,0.9035143392599877,0.9418542758674873,2014Q4,2016Q3,2016Q4,3503,214
60,0.9988465072119729,0.9618866208297139,0.9490456327187388,2015Q1,2016Q4,2017Q1,3493,214
