,R2 train,R2 cv,R2 test,Training period start,Training period end,Testing period,N° training samples,N° testing samples
41,0.5517089543524678,0.13266515884603647,-434.18780688151617,2010Q2,2012Q1,2012Q2,2795,206
42,0.7060169953682658,0.03976264591141465,-337.6053662219442,2010Q3,2012Q2,2012Q3,2886,208
43,0.9999996883996767,0.0772277108235555,0.032602096262996816,2010Q4,2012Q3,2012Q4,2974,205
44,0.10361678729285961,-0.057127196978858485,-0.0030178947628891617,2011Q1,2012Q4,2013Q1,3056,213
45,0.9999997534408603,0.06556840099537276,0.00568040033977657,2011Q2,2013Q1,2013Q2,3138,218
46,0.9999998781537107,0.10701759183430448,0.20074646767240245,2011Q3,2013Q2,2013Q3,3215,219
47,0.30268042451830424,-0.004065009084166293,-4.249580686577266,2011Q4,2013Q3,2013Q4,3293,216
48,0.9999921580083967,0.04807979126490236,-1.0542192965717492,2012Q1,2013Q4,2014Q1,3370,217
49,0.8071788238690847,0.04717966421400077,0.5642595968777218,2012Q2,2014Q1,2014Q2,3400,223
50,0.4292312147687999,0.015025844097736551,0.10423851372175741,2012Q3,2014Q2,2014Q3,3433,221
51,0.3069681055617154,-0.0182425606993617,-1.9725428690744065,2012Q4,2014Q3,2014Q4,3460,219
52,0.43259720348485764,0.0500585225193757,-0.0721716966784054,2013Q1,2014Q4,2015Q1,3488,220
53,0.43366182157351274,-0.06263118323560635,-1.3425235763718883,2013Q2,2015Q1,2015Q2,3502,220
54,0.3519426511662186,-0.09355719759471492,0.04435001605494815,2013Q3,2015Q2,2015Q3,3507,219
55,0.29283431767058443,-0.016467720577416856,0.397862319021824,2013Q4,2015Q3,2015Q4,3506,217
56,0.8403644420965093,0.08123358609765785,-0.9925774205506812,2014Q1,2015Q4,2016Q1,3509,220
57,0.43332853299768115,-0.020001064885560638,0.1259253960078799,2014Q2,2016Q1,2016Q2,3515,221
58,0.9907158206291883,0.22519537872693607,-96.66574883327613,2014Q3,2016Q2,2016Q3,3511,217
59,0.6660603073339837,0.15505743729149668,-8.898867015237856,2014Q4,2016Q3,2016Q4,3503,214
