,R2 train,R2 cv,R2 test,Training period start,Training period end,Testing period,N° training samples,N° testing samples
19,0.9973110961874989,0.6977886948383614,0.7385152815742109,2004Q4,2006Q3,2006Q4,1450,110
20,0.9998005298463701,0.6354218361558805,0.7556211105956209,2005Q1,2006Q4,2007Q1,1555,121
21,0.9997144516003759,0.6276403402027353,0.7300191390565517,2005Q2,2007Q1,2007Q2,1642,123
22,0.9913059446790665,0.6533821255965151,0.8686293031083522,2005Q3,2007Q2,2007Q3,1720,124
23,0.999557533645551,0.6944388434099555,0.7160457364428235,2005Q4,2007Q3,2007Q4,1798,106
24,0.980582946599186,0.6168987060676643,0.788929714298764,2006Q1,2007Q4,2008Q1,1844,119
25,0.9716611624712271,0.6486479201053303,0.8458715035394438,2006Q2,2008Q1,2008Q2,1862,129
26,0.964701037360483,0.5897715384151464,0.8753248353513636,2006Q3,2008Q2,2008Q3,1891,132
27,0.974088675961817,0.6029193126646248,0.8096389214023862,2006Q4,2008Q3,2008Q4,1923,131
28,0.9985547229864141,0.7101949960147698,0.7595528526196964,2007Q1,2008Q4,2009Q1,1965,146
29,0.9731463627979247,0.6470016276127202,0.825913086816855,2007Q2,2009Q1,2009Q2,2015,148
30,0.9725748803090867,0.6545848379235706,0.8422911718521043,2007Q3,2009Q2,2009Q3,2066,149
31,0.9693752719819028,0.5998451287523887,0.814525878521873,2007Q4,2009Q3,2009Q4,2116,150
32,0.9972069414395205,0.5096449313569478,0.7240779217911509,2008Q1,2009Q4,2010Q1,2205,162
33,0.9946052712609378,0.6018280781318339,0.8719793111740428,2008Q2,2010Q1,2010Q2,2291,161
34,0.9985579111504514,0.5874831778610732,0.8066120759611837,2008Q3,2010Q2,2010Q3,2355,164
35,0.9990768259573128,0.6170879582796971,0.675415235831779,2008Q4,2010Q3,2010Q4,2419,164
36,0.9881476033018101,0.5470460050612684,0.8588872665808702,2009Q1,2010Q4,2011Q1,2484,172
37,0.9966373062578584,0.5847406023449115,0.7559976704823925,2009Q2,2011Q1,2011Q2,2536,179
38,0.9944096517714044,0.5644212340783629,0.89057261267313,2009Q3,2011Q2,2011Q3,2598,180
39,0.9936040896579459,0.4802318561957627,0.8359238712208775,2009Q4,2011Q3,2011Q4,2661,177
40,0.9623405094985082,0.46996186941484785,0.7989575115618808,2010Q1,2011Q4,2012Q1,2715,202
41,0.9814044474031302,0.5329134269498527,0.8212591098226107,2010Q2,2012Q1,2012Q2,2795,206
42,0.9826348832037317,0.4893838370313306,0.8889326818675996,2010Q3,2012Q2,2012Q3,2886,208
43,0.9931439704218477,0.6137675719923034,0.7914670821466466,2010Q4,2012Q3,2012Q4,2974,205
44,0.9593575315046836,0.48058770568052533,0.8529104101202043,2011Q1,2012Q4,2013Q1,3056,213
45,0.9907458774340913,0.5933881679211954,0.8749986962322782,2011Q2,2013Q1,2013Q2,3138,218
46,0.9946652094383724,0.6297013742436343,0.8290665624490817,2011Q3,2013Q2,2013Q3,3215,219
47,0.998415135187516,0.6103860778453039,0.7756491887252084,2011Q4,2013Q3,2013Q4,3293,216
48,0.9979031588046886,0.619026166709906,0.8371957469978137,2012Q1,2013Q4,2014Q1,3370,217
49,0.9949542691721204,0.5902644893091933,0.8600082030913679,2012Q2,2014Q1,2014Q2,3400,223
50,0.9978457897196711,0.6248992135132688,0.8804635796850186,2012Q3,2014Q2,2014Q3,3433,221
51,0.9965539827471755,0.6194353657189642,0.8436016312368608,2012Q4,2014Q3,2014Q4,3460,219
52,0.9945811638012597,0.6482648975152039,0.8740318874627329,2013Q1,2014Q4,2015Q1,3488,220
53,0.9980958379152755,0.6564863273261428,0.8137071508026602,2013Q2,2015Q1,2015Q2,3502,220
54,0.9844871901673522,0.6100269459471128,0.8813120289250443,2013Q3,2015Q2,2015Q3,3507,219
55,0.9855541925189832,0.5937297307452827,0.868206875942384,2013Q4,2015Q3,2015Q4,3506,217
56,0.9920994768977203,0.6005667007791791,0.8531854838681387,2014Q1,2015Q4,2016Q1,3509,220
57,0.9826583497219079,0.6695804436268611,0.9060135845687264,2014Q2,2016Q1,2016Q2,3515,221
58,0.9907704843203045,0.6791765302831366,0.9077688585059897,2014Q3,2016Q2,2016Q3,3511,217
59,0.9968799437194774,0.677079016340389,0.8877475193982185,2014Q4,2016Q3,2016Q4,3503,214
60,0.9976818993009354,0.6516905660510632,0.8644502081367043,2015Q1,2016Q4,2017Q1,3493,214
61,0.9978689302064003,0.6515476141567172,0.908284324173947,2015Q2,2017Q1,2017Q2,3481,213
62,0.998370769663892,0.6527797840754463,0.8733328507322398,2015Q3,2017Q2,2017Q3,3467,213
63,0.992745780508941,0.6055412965328604,0.8891039316267975,2015Q4,2017Q3,2017Q4,3455,207
64,0.9923316958012989,0.594280380680865,0.8597969127161954,2016Q1,2017Q4,2018Q1,3434,210
65,0.9977097850578233,0.5823305399605705,0.9144828289900522,2016Q2,2018Q1,2018Q2,3413,209
66,0.9971794207545411,0.5836379850265071,0.8473833325885937,2016Q3,2018Q2,2018Q3,3390,207
67,0.9849362626983771,0.5572255298473279,0.8891537980370986,2016Q4,2018Q3,2018Q4,3369,203
